n	charge	num_O	num_Al	num_H	num_Mg	num_Fe	num_Ti	num_Cr	num_Si	Nconf	BE
0	0	-1	0	1	0	0	0	0	0	1	3.265620000000081902e+00	
1	1	-1	0	1	0	0	0	0	0	1	3.126000000000090040e+00		
2	-3	0	-1	1	0	0	0	0	0	3	2.710639999999975736e+00	
3	-2	0	-1	1	0	0	0	0	0	3	3.244460000000109368e+00	
4	-1	0	-1	1	0	0	0	0	0	3	2.600990000000060753e+00	
5	0	0	-1	1	0	0	0	0	0	3	1.989330000000064658e+00	
6	1	0	-1	1	0	0	0	0	0	3	1.440280000000029759e+00
7	-1	0	-1	2	0	0	0	0	0	6	5.146600000000063346e+00
8	0	0	-1	3	0	0	0	0	0	3	7.145570000000118327e+00
9	1	0	-1	4	0	0	0	0	0       6	8.057100000000202655e+00
10	2	0	-1	5	0	0	0	0	0	3	8.304690000000180206e+00

			
