n	charge	num_O	num_Al	num_H	num_Mg	num_Fe	num_Ti	num_Cr	num_Si	E_defect       num_site  E_MP
0	-1	-1	0	1	0	0	0	0	0	-.87616403E+03	3        0.213
1	0	-1	0	1	0	0	0	0	0	-.88813845E+03	3        0
2	1	-1	0	1	0	0	0	0	0	-.89971972E+03	3        0.213
3	2	-1	0	1	0	0	0	0	0	-.90544086E+03	3        0.8525
4	3	-1	0	1	0	0	0	0	0	-.91109650E+03	3        1.918
5	-4	0	-1	1	0	0	0	0	0	-.85151017E+03	6        3.410
6	-3	0	-1	1	0	0	0	0	0	-.86414905E+03	6        1.918
7	-2	0	-1	1	0	0	0	0	0	-.87616353E+03	6        0.8525
8	-1	0	-1	1	0	0	0	0	0	-.88237962E+03	6        0.213
9	0	0	-1	1	0	0	0	0	0	-.88838732E+03	6        0
10	1	0	-1	1	0	0	0	0	0	-.89423221E+03	6        0.213
11	-1	0	-1	2	0	0	0	0	0	-.88778703E+03  1        0.213
12	0	0	-1	3	0	0	0	0	0	-.89993386E+03	1	 0
13	1	0	-1	4	0	0	0	0	0	-.91141925E+03 	1	 0.213
14	2	0	-1	5	0	0	0	0	0	-.92266720E+03 	1	 0.8525
15	0	0	-1	1	1	0	0	0	0	-.89705811E+03	2	 0
16	-2	0	-1	1	1	0	0	0	0	-.87682527E+03	2	 0.8525
17	0	0	-1	1	0	1	0	0	0	-.89883144E+03	2	 0
18	-2	0	-1	1	0	1	0	0	0	-.87898524E+03	2	 0.8525
19	-1	0	-1	1	0	1	0	0	0	-.88894269E+03 	2	 0.213
20	1	0	-1	1	0	1	0	0	0	-.90744536E+03	2	 0.213
21	2	0	-1	1	0	1	0	0	0	-.91470346E+03  2	 0.8525
22	0	0	-1	1	0	0	1	0	0	-.90025565E+03	2	 0
23	-2	0	-1	1	0	0	1	0	0	-.88034009E+03 	2	 0.8525
24	-1	0	-1	1	0	0	1	0	0	-.89112854E+03	2	 0.213
25	1	0	-1	1	0	0	1	0	0	-.91060956E+03  2	 0.213
26	2	0	-1	1	0	0	1 	0	0	-.91963346E+03	2	 0.8525
27	-2	0	-1	1	0	0	0	1	0	-.88033026E+03	2	 0.8525
28	-1	0	-1	1	0	0	0	1	0	-.89116038E+03	2	 0.213
29	0	0	-1	1	0	0	0	1	0	-.90108032E+03	2	 0
30	1	0	-1	1	0	0	0	1	0	-.91091463E+03	2	 0.213
31	2	0	-1	1	0	0	0	1	0	-.91788944E+03	2	 0.8525
32	3	0	-1	1	0	0	0	1	0	-.92431863E+03	2	 1.918
33	4	0	-1	1	0	0	0	1	0	-.93054818E+03	2	 3.410
34	0	0	-1	1	0	0	0	0	1	-.89686871E+03	2	 0
35	2	0	-1	1	0	0	0	0	1	-.91665720E+03	2	 0.88525
