n	charge	num_O	num_Al	Nconf	concentration
0	0	-1	0	1	7.066448956942233777e-29
1	1	-1	0	1	2.767361587748841675e-25
2	2	-1	0	1	4.483042451134277330e-24
3	0	0	-1	1	1.655239648509827399e-23
4	-1	0	-1	1	2.642866886986960423e-16
5	-2	0	-1	1	4.372522282890446513e-12
6	-3	0	-1	1	6.380048514903250173e-11
7	0	1	0	6	3.021083539820929197e-20
8	-1	1	0	6	4.456504429204141917e-26
9	-2	1	0	6	1.253335953034513017e-30
10	0	0	1	1	2.697934857231253554e-81
11	1	0	1	1	2.324580896485564793e-61
12	2	0	1	1	5.020918989807245780e-48
13	3	0	1	1	1.240917129713255669e-32


