n	charge	num_O	num_Al	num_H	num_Mg	num_Fe	num_Ti	num_Cr	num_Si	E_defect       num_site  E_MP
0	0	-1	0	0	0	0	0	0	0	-.88601986E+03	3	 0
1	1	-1	0	0	0	0	0	0	0	-.89477019E+03	3	 0.213
2	2	-1	0	0	0	0	0	0	0	-.90342682E+03	3        0.8525
3	0	0	-1	0	0	0	0	0	0	-.88221807E+03	2        0
4	-1	0	-1	0	0	0	0	0	0	-.87625013E+03	2	 0.213
5	-2	0	-1	0	0	0	0	0	0	-.87005727E+03	2	 0.8525
6	-3	0	-1	0	0	0	0	0	0	-.86362371E+03	2	 1.918
7	0	1	0	0	0	0	0	0	0	-.89879048E+03	6  	 0
8	-1	1	0	0	0	0	0	0	0	-.88997761E+03	6	 0.213
9	-2	1	0	0	0	0	0	0	0	-.88187067E+03	6	 0.8525
10	0	0	1	0	0	0	0	0	0	-.89064775E+03	1        0	
11	1	0	1	0	0	0	0	0	0	-.90296504E+03	1	 0.213
12	2	0	1	0	0	0	0	0	0	-.91426810E+03	1	 0.8525
13	3	0	1	0	0	0	0	0	0	-.92644646E+03	1	 1.918
14	-1	0	0	1	0	0	0	0	0	-.88827318E+03	1	 0.213
15	0	0	0	1	0	0	0	0	0	-.89758172E+03	1        0	
16	1	0	0	1	0	0	0	0	0	-.90831840E+03	6        0.213
17	-1	0	-1	0	1	0	0	0	0	-.88622207E+03	2	 0.213	
18	1	0	-1	0	0	1	0	0	0	-.90437751E+03	2	 0.213
19	0	0	-1	0	0	1	0	0	0	-.89699274E+03	2	 0
20	-1	0	-1	0	0	1	0	0	0	-.88812791E+03	2	 0.213
21	1	0	-1	0	0	0	1	0	0	-.90928002E+03	2	 0.213	
22	0	0	-1	0	0	0	1	0	0	-.90008215E+03	2	 0
23	-1	0	-1	0	0	0	1	0	0	-.88949888E+03	2	 0.213
24	-1	0	-1	0	0	0	0	1	0	-.88996670E+03	2	 0.213
25	0	0	-1	0	0	0	0	1	0	-.90049021E+03 	2	 0
26	1	0	-1	0	0	0	0	1	0	-.90754985E+03	2	 0.213
27	2	0	-1	0	0	0	0	1	0	-.91398048E+03	2	 0.8528
28	3	0	-1	0	0	0	0	1	0	-.92027228E+03	2	 1.918
29	1	0	-1	0	0	0	0	0	1	-.90629629E+03  2	 0.213
