n	charge	num_O	num_Al	E_defect       N_siteN_config  E_MP
1	0	-1	0	-.88601986E+03	3	 	0
2	1	-1	0	-.89477019E+03	3	 	0.213
3	2	-1	0	-.90342682E+03	3        	0.8525
4	0	0	-1	-.88221807E+03	2        	0
5	-1	0	-1	-.87625013E+03	2	 	0.213
6	-2	0	-1	-.87005727E+03	2	 	0.8525
7	-3	0	-1	-.86362371E+03	2	 	1.918
8	0	1	0	-.89879048E+03	6  	 	0
9	-1	1	0	-.88997761E+03	6	 	0.213
10	-2	1	0	-.88187067E+03	6	 	0.8525
11	0	0	1	-.89064775E+03	1        	0	
12	1	0	1	-.90296504E+03	1	 	0.213
13	2	0	1	-.91426810E+03	1	 	0.8525
14	3	0	1	-.92644646E+03	1	 	1.918
